2 5 2 4 2 4 2 2 6 2 6 2 9 10 2 2 4 2 4 2
2 14 13 3 1 2 9 6 3 6 2 13 6 3 6 2 2 9 6 3
62 52 2 57 72 35 44 36 62 16 43 9 3 2 13 36 44 72 2 62
2 18 22 16 29 16 2 13 1 2 3 1 1 13 2 18 22 3 13 14
3 9 2 4 6 5 6 23 6 2 4 5 4 9 6 23 2 5 10 11
3 37 44 1 73 2 69 16 70 3 2 29 3 3 43 2 35 36 57 43
1 3 26 13 2 2 3 9 3 2 1 4 1 2 2 9 16 9 2 4
1 10 11 3 13 14 13 2 15 14 17 13 3 1 3 10 13 2 15 16
4 22 30 2 2 4 2 4 9 2 2 1 9 4 2 2 6 5 6 2
6 2 4 9 1 3 30 2 2 3 6 9 6 2 2 4 5 4 2 9
9 10 3 2 3 9 6 2 2 9 10 6 2 9 10 6 2 2 21 5
57 52 2 44 37 1 2 62 78 43 3 2 71 16 52 2 9 16 37 37
4 14 6 4 2 2 50 16 6 4 4 2 14 4 13 4 2 2 3 25
2 14 1 4 9 6 23 2 5 10 11 96 96 96 96 96 96 96 96 96
3 19 2 18 1 20 3 19 13 10 2 34 53 34 18 13 12 3 12 1
18 3 9 19 2 1 3 13 14 16 13 3 9 2 1 4 4 9 6 9
18 9 6 19 2 2 15 4 17 6 10 2 5 10 2 5 6 2 2 15
12 9 12 2 2 1 10 1 10 2 2 1 20 9 2 4 12 9 12 1
11 1 2 2 3 16 16 2 3 14 14 2 2 1 4 6 2 6 4 1
1 2 3 20 9 6 20 23 5 10 4 10 5 10 11 11 4 20 9 1
5 23 5 6 2 4 41 4 9 1 9 1 13 2 6 10 18 4 9 19
20 13 2 2 1 33 2 2 40 6 40 6 2 40 6 40 5 2 2 40
47 4 47 41 7 2 8 23 5 8 18 22 23 8 7 2 8 23 2 5
2 2 1 20 3 13 3 2 1 6 6 20 23 2 2 5 13 3 2 1
29 14 2 13 3 1 2 2 14 10 2 1 2 9 1 6 2 4 1 4
14 13 14 2 2 13 12 10 14 12 10 16 13 2 1 10 2 3 2 2
7 10 8 2 2 5 22 2 5 10 2 11 11 2 1 2 2 14 22 2
5 20 23 5 20 6 2 4 20 6 4 20 5 2 2 6 20 4 6 20
23 6 2 5 10 2 6 2 2 4 6 4 2 5 4 1 2 9 4 6
6 4 2 2 9 22 4 2 6 10 23 10 2 2 5 33 2 6 33 2
