1 2 2 3 1 4 2 5 6 4 2 2 7 8 7 2 5 6 4 2
6 4 2 2 7 8 7 2 5 6 4 2 2 7 8 7 2 9 4 6
5 6 4 2 2 7 8 7 2 9 4 6 2 2 4 5 8 2 8 10
2 9 4 6 2 2 4 5 8 2 8 10 1 2 3 1 4 2 5 6
8 2 8 10 1 2 3 1 4 2 5 6 4 2 2 7 8 7 2 5
4 2 5 6 4 2 2 7 8 7 2 5 6 4 2 2 6 5 8 2
8 7 2 5 6 4 2 2 6 5 8 2 9 4 6 2 2 4 5 5
6 5 8 2 9 4 6 2 2 4 5 5 2 5 10 2 11 1 2 2
2 4 5 5 2 5 10 2 11 1 2 2 4 12 9 12 1 4 2 1
11 1 2 2 4 12 9 12 1 4 2 1 3 13 2 2 14 13 3 2
1 4 2 1 3 13 2 2 14 13 3 2 1 4 5 2 2 6 4 6
14 13 3 2 1 4 5 2 2 6 4 6 2 6 5 6 2 2 4 5
2 6 4 6 2 6 5 6 2 2 4 5 8 2 8 10 1 2 4 9
2 2 4 5 8 2 8 10 1 2 4 9 1 2 1 3 13 2 15 16
1 2 4 9 1 2 1 3 13 2 15 16 17 14 13 3 2 1 4 5
13 2 15 16 17 14 13 3 2 1 4 5 2 2 6 5 8 2 9 4
2 1 4 5 2 2 6 5 8 2 9 4 2 2 6 5 8 2 9 4
8 2 9 4 2 2 6 5 8 2 9 4 6 2 2 4 5 5 2 5
8 2 9 4 6 2 2 4 5 5 2 5 10 2 11 96 96 96 96 96
18 1 3 12 13 12 19 2 2 14 10 2 1 20 1 2 1 10 2 4
2 14 10 2 1 20 1 2 1 10 2 4 20 6 2 2 4 10 2 5
1 10 2 4 20 6 2 2 4 10 2 5 20 5 2 5 10 2 6 4
4 10 2 5 20 5 2 5 10 2 6 4 2 2 21 9 4 6 5 2
10 2 6 4 2 2 21 9 4 6 5 2 3 1 9 4 2 2 6 20
4 6 5 2 3 1 9 4 2 2 6 20 5 6 20 5 2 6 10 2
2 2 6 20 5 6 20 5 2 6 10 2 18 1 3 12 13 12 19 14
2 6 10 2 18 1 3 12 13 12 19 14 10 2 1 20 1 2 1 10
13 12 19 14 10 2 1 20 1 2 1 10 2 4 20 6 2 2 4 10
1 2 1 10 2 4 20 6 2 2 4 10 2 5 20 5 2 5 10 2
2 2 4 10 2 5 20 5 2 5 10 2 6 10 2 2 4 1 2 1
2 5 10 2 6 10 2 2 4 1 2 1 3 12 9 12 2 4 10 2
4 1 2 1 3 12 9 12 2 4 10 2 6 10 2 2 21 5 10 2
2 4 10 2 6 10 2 2 21 5 10 2 5 20 5 2 5 10 2 11
21 5 10 2 5 20 5 2 5 10 2 11 11 2 1 20 4 2 2 6
5 10 2 11 11 2 1 20 4 2 2 6 10 2 6 20 6 2 6 5
4 2 2 6 10 2 6 20 6 2 6 5 6 4 2 2 9 4 2 9
6 2 6 5 6 4 2 2 9 4 2 9 1 12 3 12 2 1 10 2
9 4 2 9 1 12 3 12 2 1 10 2 9 10 2 2 21 6 12 5
2 1 10 2 9 10 2 2 21 6 12 5 12 6 12 4 12 2 9 12
21 6 12 5 12 6 12 4 12 2 9 12 1 12 3 12 13 12 2 14
12 2 9 12 1 12 3 12 13 12 2 14 1 4 5 2 2 6 10 2
13 12 2 14 1 4 5 2 2 6 10 2 6 20 6 2 6 10 2 1
2 6 10 2 6 20 6 2 6 10 2 1 4 2 2 4 5 4 1 2
6 10 2 1 4 2 2 4 5 4 1 2 9 6 9 3 2 1 3 12
5 4 1 2 9 6 9 3 2 1 3 12 13 12 2 14 3 2 1 10
2 1 3 12 13 12 2 14 3 2 1 10 2 9 10 2 2 4 1 3
3 2 1 10 2 9 10 2 2 4 1 3 9 2 4 1 9 6 2 2
2 4 1 3 9 2 4 1 9 6 2 2 5 10 2 5 9 2 4 1
9 6 2 2 5 10 2 5 9 2 4 1 9 6 2 2 5 10 2 5
9 2 4 1 9 6 2 2 5 10 2 5 20 5 2 5 10 2 11 96
18 18 22 7 8 23 19 2 2 6 9 4 6 2 5 23 5 6 2 2
2 6 9 4 6 2 5 23 5 6 2 2 1 3 13 16 2 14 3 1
5 6 2 2 1 3 13 16 2 14 3 1 4 2 2 5 6 4 6 2
2 14 3 1 4 2 2 5 6 4 6 2 5 4 9 4 2 2 6 4
6 4 6 2 5 4 9 4 2 2 6 4 6 5 2 23 7 8 23 2
2 2 6 4 6 5 2 23 7 8 23 2 2 2 2 2 2 2 2 2
7 8 23 2 2 2 2 2 2 2 2 2 2 2 5 6 4 6 2 5
2 2 2 2 2 2 5 6 4 6 2 5 23 5 4 2 2 1 3 13
4 6 2 5 23 5 4 2 2 1 3 13 16 2 14 13 14 13 2 2
2 1 3 13 16 2 14 13 14 13 2 2 3 9 6 9 2 1 4 6
14 13 2 2 3 9 6 9 2 1 4 6 5 2 2 23 7 8 23 2
2 1 4 6 5 2 2 23 7 8 23 2 5 10 2 4 10 2 2 2
7 8 23 2 5 10 2 4 10 2 2 2 2 2 2 2 1 22 2 3
10 2 2 2 2 2 2 2 1 22 2 3 2 1 9 4 9 2 2 1
1 22 2 3 2 1 9 4 9 2 2 1 3 13 16 2 14 3 1 4
9 2 2 1 3 13 16 2 14 3 1 4 2 2 5 4 1 3 2 1
14 3 1 4 2 2 5 4 1 3 2 1 9 4 9 2 2 6 23 7
1 3 2 1 9 4 9 2 2 6 23 7 23 2 6 4 9 6 2 2
2 6 23 7 23 2 6 4 9 6 2 2 2 2 2 2 2 2 2 2
9 6 2 2 2 2 2 2 2 2 2 2 2 1 9 1 3 2 1 9
2 2 2 2 2 1 9 1 3 2 1 9 4 9 2 2 1 3 13 16
3 2 1 9 4 9 2 2 1 3 13 16 2 14 22 2 13 2 2 3
1 3 13 16 2 14 22 2 13 2 2 3 9 6 9 2 1 4 5 4
13 2 2 3 9 6 9 2 1 4 5 4 2 2 9 6 6 9 2 1
1 4 5 4 2 2 9 6 6 9 2 1 4 5 4 2 2 9 6 23
6 9 2 1 4 5 4 2 2 9 6 23 6 2 5 10 2 24 21 96
7 11 5 22 2 1 10 25 23 18 5 10 6 19 2 18 4 10 9 19
23 18 5 10 6 19 2 18 4 10 9 19 1 3 1 2 9 4 6 1
4 10 9 19 1 3 1 2 9 4 6 1 9 4 2 6 5 25 23 5
9 4 6 1 9 4 2 6 5 25 23 5 22 2 1 10 25 23 18 5
5 25 23 5 22 2 1 10 25 23 18 5 10 6 19 2 18 4 10 1
